DMA,UnemploymentState,UnemploymentCounty
Los Angeles,California,Los Angeles County
Dallas-Ft.Worth,Texas,Dallas County
Philadelphia,Pennsylvania,Philadelphia County
Atlanta,NA,NA
Tampa-St. Pete,NA,NA
Oralando-Daytona Brach-Melbourne FL,NA,NA
Cleveland-Akron,Ohio,Cuyahoga County
Chicago,Illinois,Cook County
Denver,Colorado,Denver County
Kansas City,Missouri,Jackson County
Salt Lake City,Utah,Salt Lake County
Charlotte,North Carolina,Mecklenburg County
San Diego,California,San Diego County
Austin,Texas,Travis County
Houston,Texas,Harris County
